32#	Number	of	sensors																	
#	x	z																		
0	0.06																			
0.1	0.15																			
0.15	0.2																			
0.24	0.22																			
0.36	0.22																			
0.43	0.19																			
0.51	0.13																			
0.57	0.04																			
0.74	0.04																			
0.82	0.12																			
0.93	0.19																			
1	0.23																			
1.1	0.22																			
1.19	0.17																			
1.24	0.11																			
1.33	0.02																			
1.5	0.02																			
1.56	0.11																			
1.63	0.15																			
1.68	0.2																			
1.85	0.21																			
1.93	0.15																			
2	0.1																			
2.08	0.04																			
2.22	0.05																			
2.33	0.12																			
2.39	0.2																			
2.46	0.25																			
2.59	0.26																			
2.66	0.2																			
2.72	0.13																			
2.79	0.04																			
1342#	Number	of	data																	
#a	b	m	n	R	err															
1	2	3	4	-595.8267	0.246696															
9	11	19	21	-0.981817	0.011393										
9	11	21	23	-1.693628	0.009426										
9	11	23	25	-1.725317	0.002156										
9	11	25	27	-0.219414	0.000435										
9	11	27	29	-0.15567	0.000288										
10	11	12	13	-288.2901	0.519805										
10	11	13	14	-33.95912	0.052431										
10	11	14	15	-39.02		0.068649											
10	11	15	16	-16.01108	0.031723										
10	11	16	17	-9.878016	0.023237										
10	11	17	18	-0.777204	0.002111										
10	11	18	19	-0.498483	0.001127										
10	11	19	20	0.576973	0.00252											
8	12	16	20	-74.82062	0											
8	12	20	24	-18.363		0.022671											
8	12	24	28	-4.924011	0.002003										
8	12	28	32	-1.47291	0											
9	12	15	18	-163.8666	-0.00541										
9	12	18	21	-4.747805	0.007408										
9	12	21	24	-8.96709	0.008554										
9	12	24	27	-3.169295	0.000956										
9	12	27	30	-0.644037	0.000239										
10	12	14	16	-323.4071	0.075421										
10	12	16	18	-56.40849	0											
10	12	18	20	2.058346	0.013293										
10	12	20	22	-9.824074	0.012017										
10	12	22	24	-3.843707	0.002499										
10	12	24	26	-2.435752	-0.000001										
10	12	26	28	-0.321757	0											
10	12	28	30	-0.380259	0.00018											
11	12	13	14	-177.5349	0											
11	12	14	15	-194.6246	0.046264										
11	12	15	16	-74.20911	0											
11	12	16	17	-42.52558	0											
11	12	17	18	-3.304069	0											
11	12	18	19	-1.737033	0											
11	12	19	20	3.63839		0.005599											
11	12	20	21	-4.751847	0.002504										
9	13	17	21	-37.25068	0.010962										
9	13	21	25	-19.75024	0.014502										
9	13	25	29	-2.097457	0.000968										
10	13	16	19	-222.5012	0.309184										
10	13	19	22	-15.874		0.007888											
10	13	22	25	-12.86831	0.007888										
10	13	25	28	-1.469212	0.001034										
10	13	28	31	-1.212993	0.000441										
11	13	15	17	-613.7016	0.683701										
11	13	17	19	-23.81107	0.010466										
11	13	19	21	-10.14876	0											
11	13	21	23	-7.453479	0.005652										
11	13	23	25	-8.790499	0.0037											
11	13	25	27	-1.052652	0.000597										
11	13	27	29	-0.696697	0.000731										
11	13	29	31	-0.681746	0.000422										
12	13	14	15	-1655.783	0.877903										
12	13	15	16	-351.4632	0.39261											
12	13	16	17	-145.3202	0.170005										
12	13	17	18	-11.1084	0.008675										
12	13	18	19	-7.672198	0.005312										
12	13	19	20	-6.636976	0.003429										
12	13	20	21	-2.364765	0.000939										
12	13	21	22	-1.300929	0.000383										
10	14	18	22	-33.98731	-0.000695										
10	14	22	26	-15.80643	0.00371											
10	14	26	30	-1.956707	0											
11	14	17	20	-41.33943	-0.000608										
11	14	20	23	-14.01998	0.003442										
11	14	23	26	-11.3222	-0.000019										
11	14	26	29	-1.333458	0.000304										
11	14	29	32	-1.29949	0											
12	14	16	18	-238.1426	0.305558										
12	14	18	20	-23.30195	0.020678										
12	14	20	22	-2.885836	0.025333										
12	14	22	24	-5.343597	0.008125										
12	14	24	26	-4.221145	0.003071										
12	14	26	28	-0.591413	0.000271										
12	14	28	30	-0.674248	0.000542										
12	14	30	32	-0.572111	0											
13	14	15	16	-261.2252	0.324317										
13	14	16	17	-76.71231	0.097785										
13	14	17	18	-5.333674	0.004667										
13	14	18	19	-3.876216	0.002925										
13	14	19	20	-5.133042	0.009335										
13	14	20	21	0.398538	0.002894										
13	14	21	22	0.437099	0.00483											
13	14	22	23	-0.357422	0.000767										
11	15	19	23	-30.21315	0.007144										
11	15	23	27	-15.08671	0											
11	15	27	31	-2.150871	0.000893										
12	15	18	21	-38.92652	0.023925										
12	15	21	24	-8.342072	0.01616											
12	15	24	27	-6.431204	0											
12	15	27	30	-1.259475	0											
13	15	17	19	-26.51103	0.021584										
13	15	19	21	-12.11653	0.010792										
13	15	21	23	-0.482657	0.005689										
13	15	23	25	-4.653098	0.002202										
13	15	25	27	-0.572527	0.000317										
13	15	27	29	-0.368561	0.000079										
13	15	29	31	-0.39425	0.000389										
14	15	16	17	-169.9675	0.251102										
14	15	17	18	-10.86511	0.007018										
14	15	18	19	-6.390633	0.003039										
14	15	19	20	-6.975418	0.006326										
14	15	20	21	-0.351896	0.002187										
14	15	21	22	0.08368		0.002353											
14	15	22	23	-0.697546	0.000219										
14	15	23	24	-1.399999	0.00031											
12	16	20	24	-17.7533	0.016105										
12	16	24	28	-9.367055	0.002152										
12	16	28	32	-2.265617	0											
13	16	19	22	-24.02909	0.010432										
13	16	22	25	-11.11086	0.004258										
13	16	25	28	-1.266515	0.000376										
13	16	28	31	-1.005303	0.000376										
14	16	18	20	-33.85771	0.015294										
14	16	20	22	-4.240991	0.009034										
14	16	22	24	-5.454122	-0.000008										
14	16	24	26	-4.057964	-0.000004										
14	16	26	28	-0.505354	0.000137										
14	16	28	30	-0.548989	0.000238										
14	16	30	32	-0.463229	0											
15	16	17	18	-28.26134	-0.000375										
15	16	18	19	-12.02978	0.007944										
15	16	19	20	-8.563893	0.004246										
15	16	20	21	-2.707872	0.0026											
15	16	21	22	-1.296197	0.001453										
15	16	22	23	-1.296189	0.00075											
15	16	23	24	-2.073784	0.00075											
15	16	24	25	-2.07642	0.00075											
13	17	21	25	-94.27516	0											
13	17	25	29	-6.3528	0												
14	17	20	23	-89.41827	0.037896										
14	17	23	26	-53.33872	0.015471										
14	17	26	29	-3.551589	0											
14	17	29	32	-3.17909	-0.000001										
15	17	19	21	-165.1774	0.104871										
15	17	21	23	-41.2925	0.016581										
15	17	23	25	-48.01157	0.016581										
15	17	25	27	-3.560568	0											
15	17	27	29	-1.874209	0											
15	17	29	31	-1.858771	0.000897										
16	17	18	19	-158.0909	0.100076										
16	17	19	20	-109.3236	0.050038										
16	17	20	21	-44.60119	0											
16	17	21	22	-22.17169	0											
16	17	22	23	-16.54635	0											
16	17	23	24	-22.88074	0											
16	17	24	25	-20.9789	0											
16	17	25	26	-1.965153	-0.000001										
14	18	22	26	-196.4088	0.047955										
14	18	26	30	-7.755602	0.002119										
15	18	21	24	-260.0916	0											
15	18	24	27	-60.31957	0.018796										
15	18	27	30	-4.93569	0.002034										
16	18	20	22	-424.25		0.169964											
16	18	22	24	-131.4727	0.05204											
16	18	24	26	-55.64649	0.021245										
16	18	26	28	-3.359985	0.001327										
16	18	28	30	-3.386467	0.002299										
16	18	30	32	-2.7109		-0.000001											
17	18	19	20	-974.8174	3.6748											
17	18	20	21	-256.427	0.193067										
17	18	21	22	-102.1248	0.081585										
17	18	22	23	-49.30832	0.034129										
17	18	23	24	-42.84691	0.030252										
17	18	24	25	-30.77724	0.020396										
17	18	25	26	-1.916497	0.00171											
17	18	26	27	-0.997322	0											
15	19	23	27	-179.3514	0.440422										
15	19	27	31	-7.933125	0.020423										
16	19	22	25	-267.7918	0.065418										
16	19	25	28	-9.476261	0											
16	19	28	31	-5.943247	0.001445										
17	19	21	23	-270.8621	0.130137										
17	19	23	25	-122.5847	0.135451										
17	19	25	27	-4.87162	0.0061											
17	19	27	29	-2.043636	0.002753										
17	19	29	31	-2.142233	0.001946										
18	19	20	21	-273.778	0.114322										
18	19	21	22	-82.25831	0											
18	19	22	23	-34.29391	0.016501										
18	19	23	24	-28.41194	0.020209										
18	19	24	25	-20.09415	0.016501										
18	19	25	26	-1.275398	0.001364										
18	19	26	27	-0.669165	0.000631										
18	19	27	28	-0.28683	0.000182										
16	20	24	28	-137.635	0.063907										
16	20	28	32	-11.69921	0.007472										
17	20	23	26	-269.7226	0.117877										
17	20	26	29	-6.021316	0.002604										
17	20	29	32	-6.079938	0.001503										
18	20	22	24	-320.6984	0.18523											
18	20	24	26	-76.32206	0.042872										
18	20	26	28	-2.290799	0.000546										
18	20	28	30	-3.179268	0.002788										
18	20	30	32	-2.372941	0.000546										
19	20	21	22	-801.637	1.977333										
19	20	22	23	-168.2168	0.386796										
19	20	23	24	-89.16346	0.196595										
19	20	24	25	-52.19983	0.108831										
19	20	25	26	-2.618036	0.005626										
19	20	26	27	-1.188041	0.002206										
19	20	27	28	-0.145502	0.000133										
19	20	28	29	-0.966739	0.002008										
17	21	25	29	-17.39704	0.004538										
18	21	24	27	-152.4485	0.060426										
18	21	27	30	-6.103377	0.00267											
19	21	23	25	-352.7834	0.666395										
19	21	25	27	-8.330394	0.015579										
19	21	27	29	-2.260569	0.004967										
19	21	29	31	-4.448294	0.00685											
20	21	22	23	-445.0541	0.325171										
20	21	23	24	-141.1225	0.093869										
20	21	24	25	-69.4777	0.042845										
20	21	25	26	-3.177754	0.00254											
20	21	26	27	-1.381801	0.001159										
20	21	27	28	-0.105341	0.001033										
20	21	28	29	-1.076457	0.001037										
20	21	29	30	-1.351012	0.000423										
18	22	26	30	-15.88144	0.006594										
19	22	25	28	-19.83864	0.079924										
19	22	28	31	-7.686917	0.031156										
20	22	24	26	-209.4158	0.206											
20	22	26	28	-6.990357	0.008069										
20	22	28	30	-3.467237	0.002979										
20	22	30	32	-2.516087	0.001216										
21	22	23	24	-362.5508	0.430618										
21	22	24	25	-130.7347	0.152246										
21	22	25	26	-5.742509	0.007522										
21	22	26	27	-3.10097	0.004904										
21	22	27	28	-2.435593	0.005887										
21	22	28	29	-1.015594	0.001151										
21	22	29	30	0.008667	0.002466										
21	22	30	31	-0.169574	0.001575										
19	23	27	31	-22.31545	0.080628										
20	23	26	29	-25.68215	0.007523										
20	23	29	32	-10.66192	-0.00001										
21	23	25	27	-39.3635	0.031267										
21	23	27	29	-10.86073	0.011784										
21	23	29	31	-4.716491	0.001178										
22	23	24	25	-711.351	0.376241										
22	23	25	26	-21.29909	0.008313										
22	23	26	27	-9.200827	0.003599										
22	23	27	28	-3.878534	0.001799										
22	23	28	29	-3.531363	0.001469										
22	23	29	30	-2.603578	0.001039										
22	23	30	31	-1.953184	0											
22	23	31	32	-2.167555	0											
20	24	28	32	-49.14227	0.026603										
21	24	27	30	-46.18042	0.035567										
22	24	26	28	-60.77372	0.017947										
22	24	28	30	-25.94948	0.008973										
22	24	30	32	-17.20272	0											
23	24	25	26	-94.14218	0.061486										
23	24	26	27	-34.72243	0.021738										
23	24	27	28	-12.94955	0.008874										
23	24	28	29	-11.43347	0.007685										
23	24	29	30	-8.410443	0.005434										
23	24	30	31	-6.35956	0.002218										
23	24	31	32	-6.665897	0.004437										
22	25	28	31	-111.3265	-0.002925										
23	25	27	29	-116.2107	-0.001593										
23	25	29	31	-54.69554	0.018028										
24	25	26	27	-223.9994	-0.012349										
24	25	27	28	-54.65672	0											
24	25	28	29	-37.39066	0											
24	25	29	30	-22.87781	0											
24	25	30	31	-17.0703	0.004366										
24	25	31	32	-16.14995	0.007562										
23	26	29	32	-217.0612	0.049592										
24	26	28	30	-264.675	0.071934										
24	26	30	32	-111.1111	0											
25	26	27	28	-288.4153	0.151421										
25	26	28	29	-143.0276	0.069113										
25	26	29	30	-61.7614	0.021855										
25	26	30	31	-42.57271	0.024435										
25	26	31	32	-35.3885	0.015454										
25	27	29	31	-259.0993	0.102392										
26	27	28	29	-351.6949	0.277715										
26	27	29	30	-93.86151	0.060127										
26	27	30	31	-60.94153	0.034714										
26	27	31	32	-42.7694	0.024546										
26	28	30	32	-317.6151	0.19951											
27	28	29	30	-275.6811	0.080117										
27	28	30	31	-133.4535	0.028325										
27	28	31	32	-80.16626	0.020029										
28	29	30	31	-922.1724	0.934468										
28	29	31	32	-300.6972	0.330384										
29	30	31	32	-917.9105	1.663603										
1	4	2	3	1181.251	0.775904										
2	5	3	4	2452.115	1.541097										
3	6	4	5	1843.887	0.606323										
1	7	3	5	680.4593	0.289517										
4	7	5	6	2638.169	0											
2	8	4	6	866.2513	0.245487										
5	8	6	7	1320.886	0.333724										
3	9	5	7	453.0302	-0.025925										
6	9	7	8	1173.733	-0.103199										
1	10	4	7	367.4834	0.362552										
4	10	6	8	567.439		0.498562											
7	10	8	9	1000.721	0.685718										
2	11	5	8	396.5472	0.153062										
5	11	7	9	811.0732	0.89733											
8	11	9	10	682.4729	0.192218										
3	12	6	9	403.6737	0											
6	12	8	10	703.377		0.525551											
9	12	10	11	566.197		0.237493											
1	13	5	9	296.8708	-0.012024										
4	13	7	10	349.1266	0.444897										
7	13	9	11	196.826		0.091494											
10	13	11	12	1145.232	0.702669										
2	14	6	10	252.767		0												
5	14	8	11	310.0075	0.151359										
8	14	10	12	470.6948	0											
11	14	12	13	2721.655	0.773602										
3	15	7	11	199.9434	0.051242										
6	15	9	12	225.199		0.092326											
9	15	11	13	1013.703	0.795172										
12	15	13	14	609.4075	0											
1	16	6	11	149.1326	0.075896										
4	16	8	12	192.8381	0.164003										
7	16	10	13	309.0145	-0.027944										
10	16	12	14	560.9218	0.328925										
13	16	14	15	2143.321	1.795406										
2	17	7	12	119.2286	-0.005486										
5	17	9	13	91.61176	0.023677										
8	17	11	14	162.0531	0											
11	17	13	15	208.8419	0											
14	17	15	16	791.191		0.275306											
3	18	8	13	115.4526	0.050347										
6	18	10	14	97.88918	0.063826										
9	18	12	15	230.008		0.093623											
12	18	14	16	450.7411	0.124684										
15	18	16	17	875.9433	0.749653										
1	19	7	13	107.1148	0.061656										
4	19	9	14	66.07214	0.07274											
7	19	11	15	101.9837	0.094631										
10	19	13	16	155.3557	0.464463										
13	19	15	17	959.2742	0.665592										
16	19	17	18	1357.226	1.913604										
2	20	8	14	90.86604	0.036156										
5	20	10	15	67.70323	0.039415										
8	20	12	16	92.3218		-0.000932											
11	20	14	17	320.4539	0.092861										
14	20	16	18	950.5275	0.410519										
17	20	18	19	603.4502	1.734191										
3	21	9	15	53.23		0.036812											
6	21	11	16	82.10497	0.07922											
9	21	13	17	197.9055	0.042018										
12	21	15	18	538.5064	0.121336										
15	21	17	19	458.4508	0.241719										
18	21	19	20	2126.27		1.837341											
1	22	8	15	70.45156	0.0175											
4	22	10	16	56.29472	0.084389										
7	22	12	17	139.0824	0.106891										
10	22	14	18	323.1863	0.192752										
13	22	16	19	548.4853	0.36958											
16	22	18	20	469.2504	0.197799										
19	22	20	21	1224.505	3.049965										
2	23	9	16	47.5722		0.014607											
5	23	11	17	114.0887	0.064235										
8	23	13	18	188.253		0.047992											
11	23	15	19	283.0813	0.077759										
14	23	17	20	338.4888	0											
17	23	19	21	562.871		0.341054											
20	23	21	22	1527.935	0.780657										
3	24	10	17	71.18615	0.050685										
6	24	12	18	123.4218	0.123208										
9	24	14	19	175.2855	0.064513										
12	24	16	20	248.8888	0.096404										
15	24	18	21	217.9173	0											
18	24	20	22	667.5488	0.187366										
21	24	22	23	1482.47		0.614569											
1	25	9	17	38.10855	-0.000483										
4	25	11	18	53.44087	0.068483										
7	25	13	19	54.94852	0.046549										
10	25	15	20	97.59179	0.083541										
13	25	17	21	81.1372		0.058533											
16	25	19	22	80.7575		0.038042											
19	25	21	23	376.0685	2.088109										
22	25	23	24	889.9268	0.654618										
2	26	10	18	41.74003	0.013777										
5	26	12	19	53.71487	0.028377										
8	26	14	20	61.97804	0.035253										
11	26	16	21	83.90335	0.035063										
14	26	18	22	70.71715	0											
17	26	20	23	156.0853	0											
20	26	22	24	594.0907	0.357235										
23	26	24	25	1446.358	0.602287										
3	27	11	19	43.26158	0.023956										
6	27	13	20	49.66065	0.037694										
9	27	15	21	75.96549	0.034675										
12	27	17	22	51.86984	0.019662										
15	27	19	23	75.96502	0.029176										
18	27	21	24	365.4377	-0.014389										
21	27	23	25	776.4415	0											
24	27	25	26	734.3828	0.27267											
1	28	10	19	37.1141		-0.000193											
4	28	12	20	47.62626	0											
7	28	14	21	52.40003	0.015582										
10	28	16	22	70.68404	0											
13	28	18	23	72.85501	0											
16	28	20	24	111.0049	0.033701										
19	28	22	25	475.2484	2.264232										
22	28	24	26	787.309		0.43924												
25	28	26	27	858.1434	0.524522										
2	29	11	20	41.02323	0.027386										
5	29	13	21	44.43093	0.057209										
8	29	15	22	50.09932	0.019632										
11	29	17	23	47.8445		0.017735											
14	29	19	24	98.15517	0.068843										
17	29	21	25	251.3405	0.248914										
20	29	23	26	628.163		0.470979											
23	29	25	27	457.8166	0.546311										
26	29	27	28	899.1397	0.633839										
3	30	12	21	38.97584	0.050524										
6	30	14	22	43.17053	0.017738										
9	30	16	23	62.09615	0.04178											
12	30	18	24	72.34414	0.031615										
15	30	20	25	144.3881	0.040926										
18	30	22	26	426.7115	0.102607										
21	30	24	27	538.7562	0.243657										
24	30	26	28	496.367		0												
27	30	28	29	1873.577	0.671404										
1	31	11	21	33.67096	0.008663										
4	31	13	22	33.67422	0.045798										
7	31	15	23	41.96865	0											
10	31	17	24	56.52308	0.014149										
13	31	19	25	118.0972	0											
16	31	21	26	177.9436	-0.005724										
19	31	23	27	403.3748	2.071832										
22	31	25	28	300.0355	-0.018062										
25	31	27	29	683.2647	0											
28	31	29	30	1634.302	-0.202117										
2	32	12	22	29.99464	0											
5	32	14	23	34.4861		0.01858												
8	32	16	24	49.99294	-0.000526										
11	32	18	25	68.99362	0											
14	32	20	26	118.0174	-0.002733										
17	32	22	27	203.1579	-0.010403										
20	32	24	28	285.6277	0.118474										
23	32	26	29	236.2274	0											
26	32	28	30	691.725		0.451145											
29	32	30	31	1614.845	1.177145										
3	4	1	2	-595.1973	0.419823										
4	5	1	2	-188.8925	0.201589										
4	5	2	3	-481.9736	0.54092											
5	6	1	2	-81.17635	0											
5	6	2	3	-87.46851	-0.001097										
5	6	3	4	-1342.909	0.688311										
5	7	1	3	-237.8119	-0.006682										
6	7	1	2	-27.80664	0.010924										
6	7	2	3	-41.4997	0.010924										
6	7	3	4	-236.4288	0.061798										
6	7	4	5	-764.3296	-0.061798										
