#ITitle	MINI-LIGNE.180614.16H																			
#IInfo	 																			
#IVersion	9																			
#IDate	02/00/2048																			
!Data	Type:	F-Freq.	Domain	S-Stream	Data	T-Time	Domain													
#ST																				
!--------------------------------------																				
!System	Section																			
#SNAME	MINI_LIGNE18061416H																			
#SGDflt	0																			
#SR50Hz																				
#SHiNse																				
#SMuxN	1																			
#SXcale	1																			
#SOffset	0																			
!TX	Section																			
#XMXVlt	480																			
#XCurMx	2500																			
#XPowMx	250																			
#XVTrgt	50																			
#XITrgt	30																			
#XBtVmn	9																			
#XTmpMx	70																			
#XLrRes	1																			
#XUpRes	200000																			
!TDIP	Section																			
#TFrequ	5																			
#TStcks	3																			
#TRDely	29.999																			
#TLngtR	59.999																			
#TChrg																				
#TIPDly	2.222																			
#TNResOnly																				
!ERTLab	Header	Info																		
Electrodes	input/output	format																		
24	1	2	1	3	1	11	1	12	-0.446755	0.000097	-0.00365	0	8.170371	4056	20480200_211138	CH	8	GN	4	26
25	1	1	1	4	1	7	1	10	-86.78323	0.022875	-0.548848	0.000144	6.324366	8857	20480200_211140	CH	1	GN	1	50
26	1	1	1	4	1	10	1	13	-6.188154	-0.000016	-0.039136	0	6.324366	8857	20480200_211140	CH	2	GN	3	50
27	1	1	1	4	1	13	1	16	-2.582264	0.000714	-0.016331	0.000004	6.324366	8857	20480200_211140	CH	3	GN	3	50
28	1	1	1	4	1	16	1	19	-1.325481	0.000357	-0.008382	0.000002	6.324366	8857	20480200_211140	CH	4	GN	4	50
29	1	1	1	4	1	19	1	22	-0.653156	0	-0.00413	0	6.324366	8857	20480200_211140	CH	5	GN	3	50
30	1	1	1	4	1	22	1	25	-0.632678	0.000178	-0.004001	0.000001	6.324366	8857	20480200_211140	CH	6	GN	4	50
31	1	1	1	4	1	25	1	28	-0.235599	0	-0.00149	0	6.324366	8857	20480200_211140	CH	7	GN	4	50
32	1	1	1	4	1	28	1	31	-0.23624	0.000089	-0.001494	0	6.324366	8857	20480200_211140	CH	8	GN	2	50
33	1	2	1	4	1	6	1	8	-176.5381	0	-1.145529	0	6.488851	8857	20480200_211142	CH	1	GN	1	50
34	1	2	1	4	1	8	1	10	-17.92134	-0.000043	-0.116288	0	6.488851	8857	20480200_211142	CH	2	GN	2	50
35	1	2	1	4	1	10	1	12	-2.285512	-0.000001	-0.01483	0	6.488851	8857	20480200_211142	CH	3	GN	3	50
36	1	2	1	4	1	12	1	14	-3.039876	-0.000001	-0.019725	0	6.488851	8857	20480200_211142	CH	4	GN	3	50
37	1	2	1	4	1	14	1	16	-1.408371	0.000492	-0.009138	0.000003	6.488851	8857	20480200_211142	CH	5	GN	3	50
38	1	2	1	4	1	16	1	18	-0.830289	0.000246	-0.005387	0.000001	6.488851	8857	20480200_211142	CH	6	GN	4	50
39	1	2	1	4	1	18	1	20	-0.33055	0	-0.002144	0	6.488851	8857	20480200_211142	CH	7	GN	4	50
40	1	2	1	4	1	20	1	22	-0.321102	0	-0.002083	0	6.488851	8857	20480200_211142	CH	8	GN	3	50
41	1	3	1	4	1	5	1	6	-240.5942	0.1987	-1.56685	0.001294	6.512418	8424	20480200_211144	CH	1	GN	1	49.5
42	1	3	1	4	1	6	1	7	-92.96106	0	-0.605401	0	6.512418	8424	20480200_211144	CH	2	GN	1	49.5
43	1	3	1	4	1	7	1	8	-38.30386	0.024837	-0.24945	0.000161	6.512418	8424	20480200_211144	CH	3	GN	2	49.5
44	1	3	1	4	1	8	1	9	-11.67214	0.006209	-0.076013	0.00004	6.512418	8424	20480200_211144	CH	4	GN	3	49.5
45	1	3	1	4	1	9	1	10	-1.044873	0.00049	-0.006804	0.000003	6.512418	8424	20480200_211144	CH	5	GN	4	49.5
46	1	3	1	4	1	10	1	11	-0.579786	0.000347	-0.003775	0.000002	6.512418	8424	20480200_211144	CH	6	GN	4	49.5
47	1	3	1	4	1	11	1	12	-1.012596	0.000347	-0.006594	0.000002	6.512418	8424	20480200_211144	CH	7	GN	4	49.5
48	1	3	1	4	1	12	1	13	-1.70211	0.000694	-0.011084	0.000004	6.512418	8424	20480200_211144	CH	8	GN	3	49.5
49	1	1	1	5	1	9	1	13	-19.1552	0	-0.157614	0	8.22826	7291	20480200_211146	CH	1	GN	2	49.8
50	1	1	1	5	1	13	1	17	-7.321192	0.003806	-0.06024	0.000031	8.22826	7291	20480200_211146	CH	2	GN	3	49.8
51	1	1	1	5	1	17	1	21	-2.069334	0	-0.017027	0	8.22826	7291	20480200_211146	CH	3	GN	3	49.8
52	1	1	1	5	1	21	1	25	-1.670763	0	-0.013747	0	8.22826	7291	20480200_211146	CH	4	GN	3	49.8
53	1	1	1	5	1	25	1	29	-0.698185	0	-0.005744	0	8.22826	7291	20480200_211146	CH	5	GN	3	49.8
54	1	2	1	5	1	8	1	11	-57.36001	0.018043	-0.459928	0.000144	8.018269	7291	20480200_211148	CH	1	GN	2	50.5
55	1	2	1	5	1	11	1	14	-12.00744	0	-0.096278	0	8.018269	7291	20480200_211148	CH	2	GN	2	50.5
56	1	2	1	5	1	14	1	17	-5.089645	0.001953	-0.04081	0.000015	8.018269	7291	20480200_211148	CH	3	GN	3	50.5
57	1	2	1	5	1	17	1	20	-1.335766	0.000398	-0.01071	0.000003	8.018269	7291	20480200_211148	CH	4	GN	4	50.5
58	1	2	1	5	1	20	1	23	-1.196789	0.000398	-0.009596	0.000003	8.018269	7291	20480200_211148	CH	5	GN	2	50.5
59	1	2	1	5	1	23	1	26	-0.91396	0.000345	-0.007328	0.000002	8.018269	7291	20480200_211148	CH	6	GN	2	50.5
60	1	2	1	5	1	26	1	29	-0.446044	0.00014	-0.003576	0.000001	8.018269	7291	20480200_211148	CH	7	GN	4	50.5
61	1	2	1	5	1	29	1	32	-0.323416	0.000099	-0.002593	0	8.018269	7291	20480200_211148	CH	8	GN	3	50.5
62	1	3	1	5	1	7	1	9	-220.2788	0.229434	-1.571501	0.001636	7.134146	8020	20480200_211150	CH	1	GN	1	50.1
63	1	3	1	5	1	9	1	11	-6.020827	0.003104	-0.042953	0.000022	7.134146	8020	20480200_211150	CH	2	GN	3	50.1
64	1	3	1	5	1	11	1	13	-9.377984	0.005668	-0.066903	0.00004	7.134146	8020	20480200_211150	CH	3	GN	3	50.1
65	1	3	1	5	1	13	1	15	-3.085355	0.002371	-0.022011	0.000016	7.134146	8020	20480200_211150	CH	4	GN	3	50.1
66	1	3	1	5	1	15	1	17	-2.62415	0.002101	-0.018721	0.000014	7.134146	8020	20480200_211150	CH	5	GN	3	50.1
67	1	3	1	5	1	17	1	19	-0.815905	0.000592	-0.00582	0.000004	7.134146	8020	20480200_211150	CH	6	GN	3	50.1
68	1	3	1	5	1	19	1	21	-0.770387	0.000548	-0.005496	0.000003	7.134146	8020	20480200_211150	CH	7	GN	3	50.1
69	1	3	1	5	1	21	1	23	-0.615824	0.000388	-0.004393	0.000002	7.134146	8020	20480200_211150	CH	8	GN	2	50.1
70	1	4	1	5	1	6	1	7	-409.7823	0.169698	-1.976275	0.000818	4.822743	11232	20480200_211152	CH	1	GN	1	49.1
71	1	4	1	5	1	7	1	8	-136.3286	0.112244	-0.657477	0.000541	4.822743	11232	20480200_211152	CH	2	GN	1	49.1
72	1	4	1	5	1	8	1	9	-34.22203	0.016769	-0.165044	0.00008	4.822743	11232	20480200_211152	CH	3	GN	2	49.1
73	1	4	1	5	1	9	1	10	-2.867149	0.001148	-0.013827	0.000005	4.822743	11232	20480200_211152	CH	4	GN	4	49.1
74	1	4	1	5	1	10	1	11	-1.538069	0.000662	-0.007417	0.000003	4.822743	11232	20480200_211152	CH	5	GN	4	49.1
75	1	4	1	5	1	11	1	12	-2.659144	0.001325	-0.012824	0.000006	4.822743	11232	20480200_211152	CH	6	GN	4	49.1
76	1	4	1	5	1	12	1	13	-4.014081	0.001623	-0.019358	0.000007	4.822743	11232	20480200_211152	CH	7	GN	3	49.1
77	1	4	1	5	1	13	1	14	-0.842229	0.000234	-0.004061	0.000001	4.822743	11232	20480200_211152	CH	8	GN	4	49.1
78	1	2	1	6	1	10	1	14	-26.696	0.007884	-0.12247	0.000036	4.587602	12133	20480200_211154	CH	1	GN	2	50
79	1	2	1	6	1	14	1	18	-9.09598	0	-0.041728	0	4.587602	12133	20480200_211154	CH	2	GN	3	50
80	1	2	1	6	1	18	1	22	-2.566253	0	-0.011772	0	4.587602	12133	20480200_211154	CH	3	GN	3	50
81	1	2	1	6	1	22	1	26	-2.043957	0.000696	-0.009376	0.000003	4.587602	12133	20480200_211154	CH	4	GN	3	50
82	1	2	1	6	1	26	1	30	-0.903149	0.000426	-0.004143	0.000001	4.587602	12133	20480200_211154	CH	5	GN	4	50
83	1	3	1	6	1	9	1	12	-20.98276	-0.000065	-0.0904	0	4.308312	13104	20480200_211156	CH	1	GN	2	50.7
84	1	3	1	6	1	12	1	15	-15.86149	0	-0.068336	0	4.308312	13104	20480200_211156	CH	2	GN	3	50.7
85	1	3	1	6	1	15	1	18	-5.292438	-0.000004	-0.022801	0	4.308312	13104	20480200_211156	CH	3	GN	3	50.7
86	1	3	1	6	1	18	1	21	-1.902735	0.000524	-0.008197	0.000002	4.308312	13104	20480200_211156	CH	4	GN	4	50.7
87	1	3	1	6	1	21	1	24	-1.561885	0	-0.006729	0	4.308312	13104	20480200_211156	CH	5	GN	4	50.7
88	1	3	1	6	1	24	1	27	-0.948834	0	-0.004087	0	4.308312	13104	20480200_211156	CH	6	GN	4	50.7
89	1	3	1	6	1	27	1	30	-0.637412	0	-0.002746	0	4.308312	13104	20480200_211156	CH	7	GN	4	50.7
90	1	4	1	6	1	8	1	10	-108.4762	0.031738	-0.349651	0.000102	3.223299	16380	20480200_211158	CH	1	GN	2	49.8
91	1	4	1	6	1	10	1	12	-10.7283	0.003967	-0.03458	0.000012	3.223299	16380	20480200_211158	CH	2	GN	3	49.8
92	1	4	1	6	1	12	1	14	-10.64056	0.003967	-0.034297	0.000012	3.223299	16380	20480200_211158	CH	3	GN	3	49.8
93	1	4	1	6	1	14	1	16	-4.2958	0.001402	-0.013846	0.000004	3.223299	16380	20480200_211158	CH	4	GN	3	49.8
94	1	4	1	6	1	16	1	18	-2.551151	0.000701	-0.008223	0.000002	3.223299	16380	20480200_211158	CH	5	GN	4	49.8
95	1	4	1	6	1	18	1	20	-0.974973	0.00035	-0.003142	0.000001	3.223299	16380	20480200_211158	CH	6	GN	4	49.8
96	1	4	1	6	1	20	1	22	-0.935853	0.000247	-0.003016	0	3.223299	16380	20480200_211158	CH	7	GN	3	49.8
97	1	4	1	6	1	22	1	24	-0.89082	0	-0.002871	0	3.223299	16380	20480200_211158	CH	8	GN	3	49.8
98	1	5	1	6	1	7	1	8	-425.7507	0.465294	-1.715846	0.001875	4.030166	13104	20480200_211200	CH	1	GN	1	49.1
99	1	5	1	6	1	8	1	9	-66.642	0.035898	-0.268578	0.000144	4.030166	13104	20480200_211200	CH	2	GN	2	49.1
100	1	5	1	6	1	9	1	10	-4.75627	0.001943	-0.019168	0.000007	4.030166	13104	20480200_211200	CH	3	GN	3	49.1
101	1	5	1	6	1	10	1	11	-2.463945	0.001121	-0.00993	0.000004	4.030166	13104	20480200_211200	CH	4	GN	4	49.1
102	1	5	1	6	1	11	1	12	-4.066483	0.001586	-0.016388	0.000006	4.030166	13104	20480200_211200	CH	5	GN	3	49.1
103	1	5	1	6	1	12	1	13	-4.96139	0.001121	-0.019995	0.000004	4.030166	13104	20480200_211200	CH	6	GN	3	49.1
104	1	5	1	6	1	13	1	14	-0.822061	0	-0.003313	0	4.030166	13104	20480200_211200	CH	7	GN	4	49.1
105	1	5	1	6	1	14	1	15	-1.279715	0.000396	-0.005157	0.000001	4.030166	13104	20480200_211200	CH	8	GN	3	49.1
106	1	3	1	7	1	11	1	15	-31.75969	-0.000213	-0.336551	-0.000002	10.59682	5347	20480200_211202	CH	1	GN	2	50.2
107	1	3	1	7	1	15	1	19	-7.590478	-0.000013	-0.080434	0	10.59682	5347	20480200_211202	CH	2	GN	3	50.2
108	1	3	1	7	1	19	1	23	-2.96915	0.001206	-0.031463	0.000012	10.59682	5347	20480200_211202	CH	3	GN	2	50.2
109	1	3	1	7	1	23	1	27	-1.906768	0	-0.020205	0	10.59682	5347	20480200_211202	CH	4	GN	2	50.2
110	1	3	1	7	1	27	1	31	-0.978639	0.000213	-0.01037	0.000002	10.59682	5347	20480200_211202	CH	5	GN	2	50.2
111	1	4	1	7	1	10	1	13	-28.73168	0.010993	-0.163725	0.000062	5.698445	9324	20480200_211204	CH	1	GN	2	49
112	1	4	1	7	1	13	1	16	-7.82362	0.002244	-0.044582	0.000012	5.698445	9324	20480200_211204	CH	2	GN	3	49
113	1	4	1	7	1	16	1	19	-4.149343	0	-0.023644	0	5.698445	9324	20480200_211204	CH	3	GN	3	49
114	1	4	1	7	1	19	1	22	-1.90675	0	-0.010865	0	5.698445	9324	20480200_211204	CH	4	GN	3	49
115	1	4	1	7	1	22	1	25	-1.783699	0.000396	-0.010164	0.000002	5.698445	9324	20480200_211204	CH	5	GN	4	49
116	1	4	1	7	1	25	1	28	-0.63688	0.000242	-0.003629	0.000001	5.698445	9324	20480200_211204	CH	6	GN	4	49
117	1	4	1	7	1	28	1	31	-0.642736	0.00014	-0.003662	0	5.698445	9324	20480200_211204	CH	7	GN	2	49
118	1	5	1	7	1	9	1	11	-13.89348	0.015819	-0.112305	0.000127	8.083295	6961	20480200_211206	CH	1	GN	2	50.1
119	1	5	1	7	1	11	1	13	-15.92834	0.016742	-0.128753	0.000135	8.083295	6961	20480200_211206	CH	2	GN	2	50.1
120	1	5	1	7	1	13	1	15	-3.365922	0.002237	-0.027207	0.000018	8.083295	6961	20480200_211206	CH	3	GN	3	50.1
121	1	5	1	7	1	15	1	17	-3.164941	0.002623	-0.025583	0.000021	8.083295	6961	20480200_211206	CH	4	GN	3	50.1
122	1	5	1	7	1	17	1	19	-0.98409	0.000927	-0.007954	0.000007	8.083295	6961	20480200_211206	CH	5	GN	3	50.1
123	1	5	1	7	1	19	1	21	-0.88389	0.00079	-0.007144	0.000006	8.083295	6961	20480200_211206	CH	6	GN	3	50.1
124	1	5	1	7	1	21	1	23	-0.695826	0.000712	-0.005624	0.000005	8.083295	6961	20480200_211206	CH	7	GN	2	50.1
125	1	5	1	7	1	23	1	25	-0.720121	0.000593	-0.00582	0.000004	8.083295	6961	20480200_211206	CH	8	GN	2	50.1
126	1	6	1	7	1	8	1	9	-74.46884	0.073313	-0.388808	0.000382	5.221085	10694	20480200_211208	CH	1	GN	2	50.5
127	1	6	1	7	1	9	1	10	-4.509774	0.003872	-0.023545	0.00002	5.221085	10694	20480200_211208	CH	2	GN	3	50.5
128	1	6	1	7	1	10	1	11	-2.146499	0.001936	-0.011207	0.00001	5.221085	10694	20480200_211208	CH	3	GN	3	50.5
129	1	6	1	7	1	11	1	12	-3.31231	0.00324	-0.017293	0.000016	5.221085	10694	20480200_211208	CH	4	GN	3	50.5
130	1	6	1	7	1	12	1	13	-3.564279	0.002871	-0.018609	0.000014	5.221085	10694	20480200_211208	CH	5	GN	3	50.5
131	1	6	1	7	1	13	1	14	-0.471611	0.000216	-0.002462	0.000001	5.221085	10694	20480200_211208	CH	6	GN	4	50.5
132	1	6	1	7	1	14	1	15	-0.792069	0.000612	-0.004135	0.000003	5.221085	10694	20480200_211208	CH	7	GN	3	50.5
133	1	6	1	7	1	15	1	16	-0.58211	0.000459	-0.003039	0.000002	5.221085	10694	20480200_211208	CH	8	GN	4	50.5
134	1	4	1	8	1	12	1	16	-33.57248	0	-0.201648	0	6.006355	9324	20480200_211210	CH	1	GN	2	50.6
135	1	4	1	8	1	16	1	20	-7.237031	-0.000011	-0.043468	0	6.006355	9324	20480200_211210	CH	2	GN	3	50.6
136	1	4	1	8	1	20	1	24	-3.493433	-0.000004	-0.020982	0	6.006355	9324	20480200_211210	CH	3	GN	3	50.6
137	1	4	1	8	1	24	1	28	-1.680681	0	-0.010094	0	6.006355	9324	20480200_211210	CH	4	GN	3	50.6
138	1	4	1	8	1	28	1	32	-1.079204	0	-0.006482	0	6.006355	9324	20480200_211210	CH	5	GN	3	50.6
139	1	5	1	8	1	11	1	14	-35.15597	0.018113	-0.280803	0.000144	7.98736	7166	20480200_211212	CH	1	GN	2	50.1
140	1	5	1	8	1	14	1	17	-10.07078	0.004528	-0.080438	0.000036	7.98736	7166	20480200_211212	CH	2	GN	2	50.1
141	1	5	1	8	1	17	1	20	-2.427918	0.001132	-0.019392	0.000009	7.98736	7166	20480200_211212	CH	3	GN	3	50.1
142	1	5	1	8	1	20	1	23	-1.957207	0.00098	-0.015632	0.000007	7.98736	7166	20480200_211212	CH	4	GN	2	50.1
143	1	5	1	8	1	23	1	26	-1.434977	0.000693	-0.011461	0.000005	7.98736	7166	20480200_211212	CH	5	GN	2	50.1
144	1	5	1	8	1	26	1	29	-0.669583	0.000283	-0.005348	0.000002	7.98736	7166	20480200_211212	CH	6	GN	4	50.1
145	1	5	1	8	1	29	1	32	-0.489823	0.000141	-0.003912	0.000001	7.98736	7166	20480200_211212	CH	7	GN	3	50.1
146	1	6	1	8	1	10	1	12	-20.24961	0.018959	-0.094622	0.000088	4.672788	11232	20480200_211214	CH	1	GN	2	49.5
147	1	6	1	8	1	12	1	14	-13.79657	0.010946	-0.064468	0.000051	4.672788	11232	20480200_211214	CH	2	GN	3	49.5
148	1	6	1	8	1	14	1	16	-4.8078	0.004104	-0.022465	0.000019	4.672788	11232	20480200_211214	CH	3	GN	3	49.5
149	1	6	1	8	1	16	1	18	-2.76464	0.002466	-0.012918	0.000011	4.672788	11232	20480200_211214	CH	4	GN	3	49.5
150	1	6	1	8	1	18	1	20	-0.944999	0.000837	-0.004415	0.000003	4.672788	11232	20480200_211214	CH	5	GN	4	49.5
151	1	6	1	8	1	20	1	22	-0.854155	0.000802	-0.003991	0.000003	4.672788	11232	20480200_211214	CH	6	GN	3	49.5
152	1	6	1	8	1	22	1	24	-0.803771	0.000745	-0.003755	0.000003	4.672788	11232	20480200_211214	CH	7	GN	3	49.5
153	1	6	1	8	1	24	1	26	-0.535973	0.000498	-0.002504	0.000002	4.672788	11232	20480200_211214	CH	8	GN	4	49.5
154	1	7	1	8	1	9	1	10	-18.15527	0.009884	-0.230129	0.000125	12.67565	3882	20480200_211216	CH	1	GN	2	40.7
155	1	7	1	8	1	10	1	11	-6.622725	0.003494	-0.083947	0.000044	12.67565	3882	20480200_211216	CH	2	GN	3	40.7
156	1	7	1	8	1	11	1	12	-8.163978	0.003494	-0.103483	0.000044	12.67565	3882	20480200_211216	CH	3	GN	2	40.7
157	1	7	1	8	1	12	1	13	-8.462235	0.002853	-0.107264	0.000036	12.67565	3882	20480200_211216	CH	4	GN	2	40.7
158	1	7	1	8	1	13	1	14	-1.309598	0.000504	-0.0166	0.000006	12.67565	3882	20480200_211216	CH	5	GN	3	40.7
159	1	7	1	8	1	14	1	15	-2.020409	0.001127	-0.02561	0.000014	12.67565	3882	20480200_211216	CH	6	GN	3	40.7
160	1	7	1	8	1	15	1	16	-1.421406	0.000617	-0.018017	0.000007	12.67565	3882	20480200_211216	CH	7	GN	3	40.7
161	1	7	1	8	1	16	1	17	-1.406845	0.000713	-0.017832	0.000009	12.67565	3882	20480200_211216	CH	8	GN	3	40.7
162	1	5	1	9	1	13	1	17	-34.87173	0.011639	-0.306501	0.000102	8.78939	6552	20480200_211218	CH	1	GN	2	50.5
163	1	5	1	9	1	17	1	21	-6.390453	0.002909	-0.056168	0.000025	8.78939	6552	20480200_211218	CH	2	GN	3	50.5
164	1	5	1	9	1	21	1	25	-4.135087	0.001781	-0.036344	0.000015	8.78939	6552	20480200_211218	CH	3	GN	3	50.5
165	1	5	1	9	1	25	1	29	-1.500404	0.000514	-0.013187	0.000004	8.78939	6552	20480200_211218	CH	4	GN	3	50.5
166	1	6	1	9	1	12	1	15	-66.04706	0.05001	-0.330939	0.00025	5.010655	11232	20480200_211220	CH	1	GN	2	51
167	1	6	1	9	1	15	1	18	-15.15426	0.011413	-0.075932	0.000057	5.010655	11232	20480200_211220	CH	2	GN	3	51
168	1	6	1	9	1	18	1	21	-3.577802	0.002706	-0.017927	0.000013	5.010655	11232	20480200_211220	CH	3	GN	3	51
169	1	6	1	9	1	21	1	24	-2.521105	0.001914	-0.012632	0.000009	5.010655	11232	20480200_211220	CH	4	GN	4	51
170	1	6	1	9	1	24	1	27	-1.368297	0.001008	-0.006856	0.000005	5.010655	11232	20480200_211220	CH	5	GN	4	51
171	1	6	1	9	1	27	1	30	-0.853007	0.000552	-0.004274	0.000002	5.010655	11232	20480200_211220	CH	6	GN	4	51
172	1	7	1	9	1	11	1	13	-94.79952	0.030322	-1.279327	0.000409	13.49508	3276	20480200_211222	CH	1	GN	1	39.6
173	1	7	1	9	1	13	1	15	-16.22188	-0.000083	-0.218915	-0.000001	13.49508	3276	20480200_211222	CH	2	GN	2	39.6
174	1	7	1	9	1	15	1	17	-12.16957	0	-0.164229	0	13.49508	3276	20480200_211222	CH	3	GN	2	39.6
175	1	7	1	9	1	17	1	19	-2.572267	0.00067	-0.034712	0.000009	13.49508	3276	20480200_211222	CH	4	GN	3	39.6
176	1	7	1	9	1	19	1	21	-1.953878	0.00067	-0.026367	0.000009	13.49508	3276	20480200_211222	CH	5	GN	3	39.6
177	1	7	1	9	1	21	1	23	-1.388965	0.00058	-0.018744	0.000007	13.49508	3276	20480200_211222	CH	6	GN	2	39.6
